,dataset,framework,metric,value
290,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
291,imdb-tmdb,Magellan RF,prec,0.9978308026030368
292,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
293,imdb-tmdb,Magellan RF,prec,0.9971119133574008
294,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
295,imdb-tmdb,Magellan RF,prec,0.9971139971139972
296,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
297,imdb-tmdb,Magellan RF,prec,0.9978323699421964
298,imdb-tmdb,Magellan XGBoost,prec,0.9985486211901308
299,imdb-tmdb,Magellan RF,prec,0.9978323699421964
300,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
301,tmdb-tvdb,Magellan RF,prec,0.9931232091690544
302,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
303,tmdb-tvdb,Magellan RF,prec,0.9925586720091586
304,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
305,tmdb-tvdb,Magellan RF,prec,0.9931271477663229
306,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
307,tmdb-tvdb,Magellan RF,prec,0.9925544100801832
308,tmdb-tvdb,Magellan XGBoost,prec,0.9913892078071184
309,tmdb-tvdb,Magellan RF,prec,0.9925501432664756
310,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
311,dblp-acm,Magellan RF,prec,1.0
312,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
313,dblp-acm,Magellan RF,prec,1.0
314,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
315,dblp-acm,Magellan RF,prec,1.0
316,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
317,dblp-acm,Magellan RF,prec,1.0
318,dblp-acm,Magellan XGBoost,prec,0.9993556701030928
319,dblp-acm,Magellan RF,prec,1.0
320,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
321,imdb-tvdb,Magellan RF,prec,0.9885844748858448
322,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
323,imdb-tvdb,Magellan RF,prec,0.9885844748858448
324,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
325,imdb-tvdb,Magellan RF,prec,0.9885844748858448
326,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
327,imdb-tvdb,Magellan RF,prec,0.9885844748858448
328,imdb-tvdb,Magellan XGBoost,prec,0.9902522935779816
329,imdb-tvdb,Magellan RF,prec,0.9885844748858448
330,abt-buy,Magellan XGBoost,prec,0.9703225806451612
331,abt-buy,Magellan RF,prec,0.9729032258064516
332,abt-buy,Magellan XGBoost,prec,0.96640826873385
333,abt-buy,Magellan RF,prec,0.9726205997392438
334,abt-buy,Magellan XGBoost,prec,0.9717948717948718
335,abt-buy,Magellan RF,prec,0.9778933680104032
336,abt-buy,Magellan XGBoost,prec,0.9788079470198676
337,abt-buy,Magellan RF,prec,0.9775725593667546
338,abt-buy,Magellan XGBoost,prec,0.9726205997392438
339,abt-buy,Magellan RF,prec,0.9753566796368353
340,amazon-google,Magellan XGBoost,prec,0.7640586797066015
341,amazon-google,Magellan RF,prec,0.7984084880636605
342,amazon-google,Magellan XGBoost,prec,0.7280701754385965
343,amazon-google,Magellan RF,prec,0.7611580217129071
344,amazon-google,Magellan XGBoost,prec,0.7219873150105708
345,amazon-google,Magellan RF,prec,0.75
346,amazon-google,Magellan XGBoost,prec,0.7253121452894438
347,amazon-google,Magellan RF,prec,0.7730138713745272
348,amazon-google,Magellan XGBoost,prec,0.7473182359952324
349,amazon-google,Magellan RF,prec,0.7479387514723204
350,dblp-scholar,Magellan XGBoost,prec,0.9991961414790996
351,dblp-scholar,Magellan RF,prec,0.999196572040707
352,dblp-scholar,Magellan XGBoost,prec,0.996530557779557
